Video_Basligi,Kanal_Adi,Video_Yayin_Tarihi,Video_Begeni,Video_Izlenme,Yorum,Yorum_Tarihi,Kullanici_Adi,Begeni_Sayisi,Profil_Resmi,Kanal_URL
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200," Honor 200 Pro ile tanışın: https://tem.ag/evrimagaci-honor200pro
 Bu videoda anlattıklarımız, 3Blue1Brown kanalından Grant Sanderson'ın hazırladığı 6 videoluk ""Nöral Ağlar"" video listesinin bir özeti gibi. İşi daha da derinlemesine kavramak ve bu videoda girmediğimiz nöral ağ matematiğini de öğrenmek için bu listeyi baştan sona izleyin deriz: https://www.youtube.com/watch?v=aircAruvnKk&list=PLZHQObOWTQDNU6R1_67000Dx_ZCJB-3pi Üzerine Coursera'dan şu dersi almanızı tavsiye ederiz: https://www.coursera.org/learn/neural-networks-deep-learning
💗 Evrim Ağacı, okur ve izleyen destekleriyle yola devam ediyor. Bize destek olan bilimseverlere katılın: https://evrimagaci.org/youtube",2024-07-27T20:46:33Z,@evrimagaci,140,https://yt3.ggpht.com/yy48QgMLjlpIqzRqWM-ecSuL6g8KggV2pi8YS7wNzkugZHH_-eNNxJ5-BenWWYp-K8gUliIpwVo=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@evrimagaci
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,15:30 kumruya yapalım şunu,2025-11-28T22:11:10Z,@Futbolgünlüklerfb,1,https://yt3.ggpht.com/Pj2MM_PW4eervMc6I03nI-RuVgTjT4YL3IzS77Wz2cXw5LGsHkwKg1dkRxszRJIoZOdqJ1BQgnk=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Futbolg%C3%BCnl%C3%BCklerfb
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,Çagrı sana gerçekten büyük saygı duyuyorum ve takdir ediyorum.İnanılmaz güzel bilgileri sade ve net bilgilerle donatıyorsun insanları.. harikasın valla,2025-11-27T23:33:51Z,@canahmettopkaya6100,0,https://yt3.ggpht.com/ytc/AIdro_l7paSuQXdHo1EMkEQZjtkbpAXf1IwYeTHFhka4GV8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@canahmettopkaya6100
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,❤,2025-11-25T03:56:35Z,@ayseparlar7610,0,https://yt3.ggpht.com/ytc/AIdro_m_ZA6Sm1Ns0XCtaFidVnQJ-wBmPn4KPSh-C642I3M=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@ayseparlar7610
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,Abi 50 yil sonra senin gibi birisini boyle guzel bir sekilde anlatan bilen bir bilge adami veya mühendisi bulmamız çok zor olucak ona üzülüyorum...,2025-11-24T21:10:34Z,@ZeynalYasin-wb1os,0,https://yt3.ggpht.com/ytc/AIdro_m7s2_vr9a-URZ8SU5IImXm-Mf0-NqqRhWQpDEgf9vCn-B03oaMDnxNs4fPH8K8N5WflA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@ZeynalYasin-wb1os
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,❤,2025-11-18T01:06:07Z,@eminekirimli-e8r,0,https://yt3.ggpht.com/ytc/AIdro_nCktTZ-D88FftB8H6JJ52VXoSG7w-cHqLVw-FGYv31C_-S=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@eminekirimli-e8r
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,🤎👍💪başarılar !!!,2025-11-17T18:46:55Z,@mustafakacar3199,0,https://yt3.ggpht.com/ytc/AIdro_kvcr3wKM2aUmLOgkcOxjRJ92j4lRE2eS7paUOLS9HYdKw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@mustafakacar3199
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,👍💪başarılar !!!!,2025-11-17T17:57:08Z,@mustafakacar3199,0,https://yt3.ggpht.com/ytc/AIdro_kvcr3wKM2aUmLOgkcOxjRJ92j4lRE2eS7paUOLS9HYdKw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@mustafakacar3199
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,Sen ne müthiş bir adamsın maşallah,2025-11-01T12:04:33Z,@merveeeee6305,0,https://yt3.ggpht.com/ytc/AIdro_najrNirkES91uW9O1x7uafNumbXLKuwgH-mLyamJqgfhwuBIDWRZGGBzH6fCNh-gOl0g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@merveeeee6305
ChatGPT Her Şeyi Nasıl Bilebiliyor?,Evrim Ağacı,2024-07-28T06:01:51Z,28638,1162200,Cok güzel anlatıyorsunuz. Harika. Ama akademik olarak bazı eksiklikler var. Literatürde bu anlattiginiz gibi değil.,2025-10-26T14:46:03Z,@farukbulut5319,1,https://yt3.ggpht.com/ytc/AIdro_msOeiAeiYRN7Mgg1SNx_P4HETwW3LsFqmCTJeDr8tHc9E=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@farukbulut5319
